ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10006312.SH,南方中证500ETF期权2401认购5.50,C,5.5,20231123,20240124,2024-01-02,SSE,0.0967,0.0967,0.1031,0.1031,0.071,0.071,0.071,70529.0,6454.9149,51832.0,2024-01-24,22,0.0030000000000001137
10006542.SH,南方中证500ETF期权2402认购5.50,C,5.5,20231228,20240228,2024-01-02,SSE,0.1384,0.1384,0.14,0.1406,0.1123,0.1123,0.1123,3229.0,427.4888,3256.0,2024-02-28,57,0.0030000000000001137
10005803.SH,南方中证500ETF期权2403认购5.50,C,5.5,20230727,20240327,2024-01-02,SSE,0.1629,0.1629,0.1629,0.1668,0.1424,0.1425,0.1425,2387.0,375.8197,12416.0,2024-03-27,85,0.0030000000000001137
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-02,SSE,0.204,0.204,0.2066,0.2205,0.1992,0.1992,0.1992,1018.0,217.822,17352.0,2024-06-26,176,0.08399999999999963
10006312.SH,南方中证500ETF期权2401认购5.50,C,5.5,20231123,20240124,2024-01-03,SSE,0.071,0.071,0.0698,0.0851,0.0588,0.0683,0.0683,87542.0,6276.6666,54239.0,2024-01-24,21,0.009999999999999787
10006542.SH,南方中证500ETF期权2402认购5.50,C,5.5,20231228,20240228,2024-01-03,SSE,0.1123,0.1123,0.1114,0.1247,0.0985,0.1079,0.1079,4498.0,499.3194,3778.0,2024-02-28,56,0.009999999999999787
10005803.SH,南方中证500ETF期权2403认购5.50,C,5.5,20230727,20240327,2024-01-03,SSE,0.1425,0.1425,0.1396,0.1532,0.127,0.1351,0.1351,4398.0,606.8861,12861.0,2024-03-27,84,0.009999999999999787
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-03,SSE,0.1992,0.1992,0.1992,0.2119,0.1856,0.2119,0.2119,1598.0,316.8605,17236.0,2024-06-26,175,0.07699999999999996
10006312.SH,南方中证500ETF期权2401认购5.50,C,5.5,20231123,20240124,2024-01-04,SSE,0.0683,0.0683,0.0707,0.0707,0.0415,0.0499,0.0499,92796.0,4771.8385,59873.0,2024-01-24,20,0.05400000000000027
10006542.SH,南方中证500ETF期权2402认购5.50,C,5.5,20231228,20240228,2024-01-04,SSE,0.1079,0.1079,0.1101,0.1101,0.0778,0.0892,0.0892,7681.0,677.5832,5060.0,2024-02-28,55,0.05400000000000027
10005803.SH,南方中证500ETF期权2403认购5.50,C,5.5,20230727,20240327,2024-01-04,SSE,0.1351,0.1351,0.1393,0.1393,0.1053,0.116,0.116,3875.0,450.1182,13228.0,2024-03-27,83,0.05400000000000027
10006207.SH,南方中证500ETF期权2406认购5.413,C,5.413,20231026,20240626,2024-01-04,SSE,0.2119,0.2119,0.196,0.196,0.1615,0.1826,0.1826,2918.0,505.3114,17513.0,2024-06-26,174,0.032999999999999474
10006312.SH,南方中证500ETF期权2401认购5.50,C,5.5,20231123,20240124,2024-01-05,SSE,0.0499,0.0499,0.0489,0.0557,0.0274,0.0299,0.0299,107964.0,4310.7735,71717.0,2024-01-24,19,0.12399999999999967
10006542.SH,南方中证500ETF期权2402认购5.50,C,5.5,20231228,20240228,2024-01-05,SSE,0.0892,0.0892,0.0866,0.0938,0.0605,0.0641,0.0641,11765.0,885.2937,7168.0,2024-02-28,54,0.12399999999999967
10005803.SH,南方中证500ETF期权2403认购5.50,C,5.5,20230727,20240327,2024-01-05,SSE,0.116,0.116,0.1103,0.1228,0.0871,0.092,0.092,6365.0,639.1574,14128.0,2024-03-27,82,0.12399999999999967
