ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,2024-01-02,5.524,5.53,5.492,5.497,3092572.47,1705665.321
510500.SH,2024-01-03,5.49,5.517,5.461,5.49,2255497.47,1238302.777
510500.SH,2024-01-04,5.491,5.495,5.417,5.446,2747555.34,1495540.7
510500.SH,2024-01-05,5.438,5.463,5.356,5.376,2031987.3,1099041.995
510500.SH,2024-01-08,5.361,5.364,5.248,5.25,2922712.27,1547033.096
510500.SH,2024-01-09,5.252,5.309,5.238,5.262,2220794.52,1169642.672
510500.SH,2024-01-10,5.244,5.303,5.2,5.249,2096542.18,1101714.579
510500.SH,2024-01-11,5.24,5.335,5.235,5.312,2695308.93,1426398.489
510500.SH,2024-01-12,5.295,5.358,5.289,5.292,2377711.81,1265314.829
510500.SH,2024-01-15,5.275,5.333,5.254,5.279,1577414.69,834370.669
510500.SH,2024-01-16,5.266,5.297,5.21,5.274,2390411.91,1256028.405
510500.SH,2024-01-17,5.254,5.262,5.138,5.141,1981660.86,1032494.763
510500.SH,2024-01-18,5.136,5.153,5.002,5.146,4760787.66,2412324.445
510500.SH,2024-01-19,5.119,5.162,5.095,5.106,3196217.72,1639168.635
510500.SH,2024-01-22,5.088,5.095,4.82,4.87,3745535.05,1858414.199
510500.SH,2024-01-23,4.844,4.971,4.801,4.948,3309903.1,1623833.912
510500.SH,2024-01-24,4.951,5.026,4.839,5.018,3446636.8,1704636.315
510500.SH,2024-01-25,5.018,5.169,4.976,5.166,3445700.07,1755492.249
510500.SH,2024-01-26,5.145,5.168,5.091,5.109,2914766.44,1497872.82
510500.SH,2024-01-29,5.115,5.135,5.012,5.013,1966042.2,993868.41
510500.SH,2024-01-30,4.993,5.027,4.888,4.911,1885735.63,937038.152
510500.SH,2024-01-31,4.9,4.918,4.776,4.783,3470483.53,1675014.482
510500.SH,2024-02-01,4.756,4.856,4.709,4.765,3482024.85,1665132.154
510500.SH,2024-02-02,4.764,4.811,4.504,4.637,3845023.13,1800219.345
510500.SH,2024-02-05,4.62,4.68,4.351,4.535,35130237.77,16081415.892
510500.SH,2024-02-06,4.483,4.93,4.465,4.913,10280444.08,4861999.738
510500.SH,2024-02-07,4.941,5.235,4.903,5.225,13240325.75,6790668.059
510500.SH,2024-02-08,5.297,5.475,5.215,5.249,16205181.53,8678055.731
510500.SH,2024-02-19,5.3,5.3,5.145,5.215,15512755.0,8095394.399
510500.SH,2024-02-20,5.186,5.228,5.149,5.215,4763525.34,2473894.419
510500.SH,2024-02-21,5.181,5.34,5.165,5.212,6000900.64,3156024.197
510500.SH,2024-02-22,5.212,5.27,5.195,5.257,2948423.33,1542814.976
510500.SH,2024-02-23,5.259,5.283,5.194,5.281,3225140.01,1689915.433
510500.SH,2024-02-26,5.27,5.341,5.241,5.271,3868467.63,2047977.912
510500.SH,2024-02-27,5.26,5.4,5.245,5.398,3670871.77,1958600.148
510500.SH,2024-02-28,5.399,5.472,5.257,5.259,4803429.01,2584556.893
510500.SH,2024-02-29,5.241,5.444,5.241,5.431,6347472.31,3414044.458
510500.SH,2024-03-01,5.423,5.478,5.406,5.467,3341373.23,1818468.534
510500.SH,2024-03-04,5.461,5.485,5.403,5.465,4340663.07,2365113.919
