ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,20240102,5.524,5.53,5.492,5.497,3092572.47,1705665.321
510500.SH,20240103,5.49,5.517,5.461,5.49,2255497.47,1238302.777
510500.SH,20240104,5.491,5.495,5.417,5.446,2747555.34,1495540.7
510500.SH,20240105,5.438,5.463,5.356,5.376,2031987.3,1099041.995
510500.SH,20240108,5.361,5.364,5.248,5.25,2922712.27,1547033.096
510500.SH,20240109,5.252,5.309,5.238,5.262,2220794.52,1169642.672
510500.SH,20240110,5.244,5.303,5.2,5.249,2096542.18,1101714.579
510500.SH,20240111,5.24,5.335,5.235,5.312,2695308.93,1426398.489
510500.SH,20240112,5.295,5.358,5.289,5.292,2377711.81,1265314.829
510500.SH,20240115,5.275,5.333,5.254,5.279,1577414.69,834370.669
510500.SH,20240116,5.266,5.297,5.21,5.274,2390411.91,1256028.405
510500.SH,20240117,5.254,5.262,5.138,5.141,1981660.86,1032494.763
510500.SH,20240118,5.136,5.153,5.002,5.146,4760787.66,2412324.445
510500.SH,20240119,5.119,5.162,5.095,5.106,3196217.72,1639168.635
510500.SH,20240122,5.088,5.095,4.82,4.87,3745535.05,1858414.199
510500.SH,20240123,4.844,4.971,4.801,4.948,3309903.1,1623833.912
510500.SH,20240124,4.951,5.026,4.839,5.018,3446636.8,1704636.315
510500.SH,20240125,5.018,5.169,4.976,5.166,3445700.07,1755492.249
510500.SH,20240126,5.145,5.168,5.091,5.109,2914766.44,1497872.82
510500.SH,20240129,5.115,5.135,5.012,5.013,1966042.2,993868.41
510500.SH,20240130,4.993,5.027,4.888,4.911,1885735.63,937038.152
510500.SH,20240131,4.9,4.918,4.776,4.783,3470483.53,1675014.482
