ts_code,trade_date,pre_settle,pre_close,open,high,low,close,settle,vol,amount,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10006713.SH,20240124,0.348,0.3233,0.3343,0.4166,0.2319,0.4014,0.418,901.0,273.5391,南方中证500ETF期权2401认购4.60,OP510500.SH,ETF期权,C,4.6,20240124,20240122,20240124
10006713.SH,20240123,0.27,0.1851,0.1955,0.3741,0.1813,0.3233,0.348,1234.0,331.2357,南方中证500ETF期权2401认购4.60,OP510500.SH,ETF期权,C,4.6,20240124,20240122,20240124
10006713.SH,20240122,0.5079,,0.4662,0.4732,0.1689,0.1851,0.27,792.0,198.4148,南方中证500ETF期权2401认购4.60,OP510500.SH,ETF期权,C,4.6,20240124,20240122,20240124
10006714.SH,20240124,0.0002,0.0002,0.0002,0.0003,0.0001,0.0001,0.0,2076.0,0.2393,南方中证500ETF期权2401认沽4.60,OP510500.SH,ETF期权,P,4.6,20240124,20240122,20240124
10006714.SH,20240123,0.0103,0.0103,0.0098,0.0159,0.0001,0.0002,0.0002,18266.0,101.3022,南方中证500ETF期权2401认沽4.60,OP510500.SH,ETF期权,P,4.6,20240124,20240122,20240124
10006714.SH,20240122,0.0001,,0.0002,0.019,0.0002,0.0103,0.0103,16955.0,90.9386,南方中证500ETF期权2401认沽4.60,OP510500.SH,ETF期权,P,4.6,20240124,20240122,20240124
10006721.SH,20240124,0.448,0.4266,0.4295,0.5166,0.3351,0.5041,0.518,383.0,155.4195,南方中证500ETF期权2401认购4.50,OP510500.SH,ETF期权,C,4.5,20240124,20240123,20240124
10006721.SH,20240123,0.3707,,0.2955,0.4725,0.291,0.4266,0.448,270.0,102.6366,南方中证500ETF期权2401认购4.50,OP510500.SH,ETF期权,C,4.5,20240124,20240123,20240124
10006722.SH,20240124,0.0001,0.0001,0.0001,0.0002,0.0001,0.0001,0.0,717.0,0.0718,南方中证500ETF期权2401认沽4.50,OP510500.SH,ETF期权,P,4.5,20240124,20240123,20240124
10006722.SH,20240123,0.0033,,0.0048,0.0082,0.0001,0.0001,0.0001,15060.0,43.2113,南方中证500ETF期权2401认沽4.50,OP510500.SH,ETF期权,P,4.5,20240124,20240123,20240124
