ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10006713.SH,南方中证500ETF期权2401认购4.60,OP510500.SH,ETF期权,C,4.6,20240124,20240122,20240124
10006714.SH,南方中证500ETF期权2401认沽4.60,OP510500.SH,ETF期权,P,4.6,20240124,20240122,20240124
10006715.SH,南方中证500ETF期权2402认购4.60,OP510500.SH,ETF期权,C,4.6,20240228,20240122,20240228
10006716.SH,南方中证500ETF期权2402认沽4.60,OP510500.SH,ETF期权,P,4.6,20240228,20240122,20240228
10006717.SH,南方中证500ETF期权2403认购4.60,OP510500.SH,ETF期权,C,4.6,20240327,20240122,20240327
10006718.SH,南方中证500ETF期权2403认沽4.60,OP510500.SH,ETF期权,P,4.6,20240327,20240122,20240327
10006719.SH,南方中证500ETF期权2406认购4.528,OP510500.SH,ETF期权,C,4.528,20240626,20240122,20240626
10006720.SH,南方中证500ETF期权2406认沽4.528,OP510500.SH,ETF期权,P,4.528,20240626,20240122,20240626
10006721.SH,南方中证500ETF期权2401认购4.50,OP510500.SH,ETF期权,C,4.5,20240124,20240123,20240124
10006722.SH,南方中证500ETF期权2401认沽4.50,OP510500.SH,ETF期权,P,4.5,20240124,20240123,20240124
10006723.SH,南方中证500ETF期权2402认购4.50,OP510500.SH,ETF期权,C,4.5,20240228,20240123,20240228
10006724.SH,南方中证500ETF期权2402认沽4.50,OP510500.SH,ETF期权,P,4.5,20240228,20240123,20240228
10006725.SH,南方中证500ETF期权2403认购4.50,OP510500.SH,ETF期权,C,4.5,20240327,20240123,20240327
10006726.SH,南方中证500ETF期权2403认沽4.50,OP510500.SH,ETF期权,P,4.5,20240327,20240123,20240327
10006727.SH,南方中证500ETF期权2406认购4.429,OP510500.SH,ETF期权,C,4.429,20240626,20240123,20240626
10006728.SH,南方中证500ETF期权2406认沽4.429,OP510500.SH,ETF期权,P,4.429,20240626,20240123,20240626
10006765.SH,南方中证500ETF期权2409认购4.528,OP510500.SH,ETF期权,C,4.528,20240925,20240125,20240925
10006766.SH,南方中证500ETF期权2409认购4.626,OP510500.SH,ETF期权,C,4.626,20240925,20240125,20240925
10006767.SH,南方中证500ETF期权2409认购4.724,OP510500.SH,ETF期权,C,4.724,20240925,20240125,20240925
