ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10003652.SH,华泰柏瑞沪深300ETF期权2111认沽4.70,OP510300.SH,ETF期权,P,4.7,20211124,20210923,20211124
10004160.SH,华泰柏瑞沪深300ETF期权2209认购3.70,OP510300.SH,ETF期权,C,3.7,20220928,20220316,20220928
10009084.SH,华泰柏瑞沪深300ETF期权2505认沽4.20,OP510300.SH,ETF期权,P,4.2,20250528,20250327,20250528
10004964.SH,华泰柏瑞沪深300ETF期权2302认购4.135,OP510300.SH,ETF期权,C,4.135,20230222,20221229,20230222
10004190.SH,华泰柏瑞沪深300ETF期权2205认沽3.90,OP510300.SH,ETF期权,P,3.9,20220525,20220324,20220525
10008591.SH,华泰柏瑞沪深300ETF期权2502认购3.70,OP510300.SH,ETF期权,C,3.7,20250226,20241226,20250226
10005895.SH,华泰柏瑞沪深300ETF期权2308认购3.40,OP510300.SH,ETF期权,C,3.4,20230823,20230822,20230823
10005290.SH,华泰柏瑞沪深300ETF期权2305认沽3.80,OP510300.SH,ETF期权,P,3.8,20230524,20230323,20230524
10003875.SH,华泰柏瑞沪深300ETF期权2202认沽5.662,OP510300.SH,ETF期权,P,5.662,20220223,20211223,20220223
10008179.SH,华泰柏瑞沪深300ETF期权2411认沽4.70,OP510300.SH,ETF期权,P,4.7,20241127,20241009,20241127
10006188.SH,华泰柏瑞沪深300ETF期权2406认购3.427,OP510300.SH,ETF期权,C,3.427,20240626,20231026,20240626
10008369.SH,华泰柏瑞沪深300ETF期权2506认购4.60,OP510300.SH,ETF期权,C,4.6,20250625,20241108,20250625
10006695.SH,华泰柏瑞沪深300ETF期权2406认购3.60,OP510300.SH,ETF期权,C,3.6,20240626,20240118,20240626
10007162.SH,华泰柏瑞沪深300ETF期权2412认购3.60,OP510300.SH,ETF期权,C,3.6,20241225,20240425,20241225
10003081.SH,华泰柏瑞沪深300ETF期权2102认购6.169,OP510300.SH,ETF期权,C,6.169,20210224,20201229,20210224
10003082.SH,华泰柏瑞沪深300ETF期权2102认沽6.169,OP510300.SH,ETF期权,P,6.169,20210224,20201229,20210224
10005102.SH,华泰柏瑞沪深300ETF期权2303认沽4.60,OP510300.SH,ETF期权,P,4.6,20230322,20230120,20230322
10004365.SH,华泰柏瑞沪深300ETF期权2208认购4.50,OP510300.SH,ETF期权,C,4.5,20220824,20220623,20220824
10005426.SH,华泰柏瑞沪深300ETF期权2307认沽3.50,OP510300.SH,ETF期权,P,3.5,20230726,20230525,20230726
10003281.SH,华泰柏瑞沪深300ETF期权2104认购4.80,OP510300.SH,ETF期权,C,4.8,20210428,20210225,20210428
10003489.SH,华泰柏瑞沪深300ETF期权2108认沽4.80,OP510300.SH,ETF期权,P,4.8,20210825,20210624,20210825
10006660.SH,华泰柏瑞沪深300ETF期权2402认沽2.90,OP510300.SH,ETF期权,P,2.9,20240228,20240118,20240228
10004481.SH,华泰柏瑞沪深300ETF期权2210认购4.30,OP510300.SH,ETF期权,C,4.3,20221026,20220825,20221026
10004615.SH,华泰柏瑞沪深300ETF期权2211认购3.70,OP510300.SH,ETF期权,C,3.7,20221123,20220929,20221123
10008950.SH,华泰柏瑞沪深300ETF期权2504认购3.80,OP510300.SH,ETF期权,C,3.8,20250423,20250227,20250423
10004483.SH,华泰柏瑞沪深300ETF期权2210认购4.50,OP510300.SH,ETF期权,C,4.5,20221026,20220825,20221026
10007358.SH,华泰柏瑞沪深300ETF期权2407认购4.00,OP510300.SH,ETF期权,C,4.0,20240724,20240523,20240724
10008598.SH,华泰柏瑞沪深300ETF期权2502认购4.40,OP510300.SH,ETF期权,C,4.4,20250226,20241226,20250226
10005787.SH,华泰柏瑞沪深300ETF期权2403认购3.916,OP510300.SH,ETF期权,C,3.916,20240327,20230727,20240327
