ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10005232.SH,南方中证500ETF期权2304认沽6.50,OP510500.SH,ETF期权,P,6.5,20230426,20230223,20230426
10008719.SH,南方中证500ETF期权2501认购6.00,OP510500.SH,ETF期权,C,6.0,20250122,20250116,20250122
10006212.SH,南方中证500ETF期权2406认沽4.724,OP510500.SH,ETF期权,P,4.724,20240626,20231026,20240626
10004830.SH,南方中证500ETF期权2301认沽6.75,OP510500.SH,ETF期权,P,6.75,20230130,20221124,20230130
10007758.SH,南方中证500ETF期权2410认沽4.60,OP510500.SH,ETF期权,P,4.6,20241023,20240829,20241023
10005234.SH,南方中证500ETF期权2304认沽7.00,OP510500.SH,ETF期权,P,7.0,20230426,20230223,20230426
10006316.SH,南方中证500ETF期权2401认购6.50,OP510500.SH,ETF期权,C,6.5,20240124,20231123,20240124
10004721.SH,南方中证500ETF期权2306认购6.50,OP510500.SH,ETF期权,C,6.5,20230628,20221027,20230628
10008775.SH,南方中证500ETF期权2506认购6.50,OP510500.SH,ETF期权,C,6.5,20250625,20250116,20250625
10006323.SH,南方中证500ETF期权2401认沽6.00,OP510500.SH,ETF期权,P,6.0,20240124,20231123,20240124
10007444.SH,南方中证500ETF期权2406认沽4.60,OP510500.SH,ETF期权,P,4.6,20240626,20240625,20240626
10008428.SH,南方中证500ETF期权2501认购5.165,OP510500.SH,ETF期权,C,5.165,20250122,20241128,20250122
10007748.SH,南方中证500ETF期权2410认购4.50,OP510500.SH,ETF期权,C,4.5,20241023,20240829,20241023
10008790.SH,南方中证500ETF期权2503认沽6.75,OP510500.SH,ETF期权,P,6.75,20250326,20250122,20250326
10008309.SH,南方中证500ETF期权2506认沽5.411,OP510500.SH,ETF期权,P,5.411,20250625,20241024,20250625
10007274.SH,南方中证500ETF期权2405认沽5.50,OP510500.SH,ETF期权,P,5.5,20240522,20240517,20240522
10004984.SH,南方中证500ETF期权2302认沽5.00,OP510500.SH,ETF期权,P,5.0,20230222,20221229,20230222
10006780.SH,南方中证500ETF期权2409认沽5.413,OP510500.SH,ETF期权,P,5.413,20240925,20240125,20240925
10005452.SH,南方中证500ETF期权2307认沽7.00,OP510500.SH,ETF期权,P,7.0,20230726,20230525,20230726
10007700.SH,南方中证500ETF期权2408认沽4.20,OP510500.SH,ETF期权,P,4.2,20240828,20240823,20240828
10008738.SH,南方中证500ETF期权2502认购6.25,OP510500.SH,ETF期权,C,6.25,20250226,20250116,20250226
10005096.SH,南方中证500ETF期权2302认沽7.25,OP510500.SH,ETF期权,P,7.25,20230222,20230117,20230222
10005954.SH,南方中证500ETF期权2310认购6.00,OP510500.SH,ETF期权,C,6.0,20231025,20230824,20231025
10008787.SH,南方中证500ETF期权2502认购6.75,OP510500.SH,ETF期权,C,6.75,20250226,20250122,20250226
10007180.SH,南方中证500ETF期权2412认购5.413,OP510500.SH,ETF期权,C,5.413,20241225,20240425,20241225
10006064.SH,南方中证500ETF期权2311认购5.50,OP510500.SH,ETF期权,C,5.5,20231122,20230928,20231122
10009095.SH,南方中证500ETF期权2505认购7.00,OP510500.SH,ETF期权,C,7.0,20250528,20250327,20250528
10007897.SH,南方中证500ETF期权2411认购4.40,OP510500.SH,ETF期权,C,4.4,20241127,20240926,20241127
10007179.SH,南方中证500ETF期权2412认购5.167,OP510500.SH,ETF期权,C,5.167,20241225,20240425,20241225
10009094.SH,南方中证500ETF期权2505认购6.75,OP510500.SH,ETF期权,C,6.75,20250528,20250327,20250528
10007504.SH,南方中证500ETF期权2408认沽6.00,OP510500.SH,ETF期权,P,6.0,20240828,20240627,20240828
10007909.SH,南方中证500ETF期权2411认沽4.70,OP510500.SH,ETF期权,P,4.7,20241127,20240926,20241127
10006886.SH,南方中证500ETF期权2409认沽4.035,OP510500.SH,ETF期权,P,4.035,20240925,20240206,20240925
10007702.SH,南方中证500ETF期权2409认沽4.20,OP510500.SH,ETF期权,P,4.2,20240925,20240823,20240925
10005450.SH,南方中证500ETF期权2307认沽6.50,OP510500.SH,ETF期权,P,6.5,20230726,20230525,20230726
10007269.SH,南方中证500ETF期权2405认购6.50,OP510500.SH,ETF期权,C,6.5,20240522,20240517,20240522
10007316.SH,南方中证500ETF期权2412认购4.90,OP510500.SH,ETF期权,C,4.9,20241225,20240517,20241225
10004826.SH,南方中证500ETF期权2301认沽5.75,OP510500.SH,ETF期权,P,5.75,20230130,20221124,20230130
10005303.SH,南方中证500ETF期权2305认购6.75,OP510500.SH,ETF期权,C,6.75,20230524,20230323,20230524
10007379.SH,南方中证500ETF期权2407认沽4.90,OP510500.SH,ETF期权,P,4.9,20240724,20240523,20240724
10004992.SH,南方中证500ETF期权2302认沽7.00,OP510500.SH,ETF期权,P,7.0,20230222,20221229,20230222
10005964.SH,南方中证500ETF期权2310认沽6.25,OP510500.SH,ETF期权,P,6.25,20231025,20230824,20231025
10007260.SH,南方中证500ETF期权2412认沽6.644,OP510500.SH,ETF期权,P,6.644,20241225,20240510,20241225
10006768.SH,南方中证500ETF期权2409认购4.823,OP510500.SH,ETF期权,C,4.823,20240925,20240125,20240925
10006771.SH,南方中证500ETF期权2409认购5.413,OP510500.SH,ETF期权,C,5.413,20240925,20240125,20240925
10006727.SH,南方中证500ETF期权2406认购4.429,OP510500.SH,ETF期权,C,4.429,20240626,20240123,20240626
10008836.SH,南方中证500ETF期权2509认购6.25,OP510500.SH,ETF期权,C,6.25,20250924,20250123,20250924
10008977.SH,南方中证500ETF期权2504认沽5.25,OP510500.SH,ETF期权,P,5.25,20250423,20250227,20250423
10008381.SH,南方中证500ETF期权2506认购7.378,OP510500.SH,ETF期权,C,7.378,20250625,20241112,20250625
10005817.SH,南方中证500ETF期权2403认沽6.75,OP510500.SH,ETF期权,P,6.75,20240327,20230727,20240327
10005231.SH,南方中证500ETF期权2304认沽6.25,OP510500.SH,ETF期权,P,6.25,20230426,20230223,20230426
10008430.SH,南方中证500ETF期权2501认购5.657,OP510500.SH,ETF期权,C,5.657,20250122,20241128,20250122
10008435.SH,南方中证500ETF期权2501认购6.886,OP510500.SH,ETF期权,C,6.886,20250122,20241128,20250122
10008617.SH,南方中证500ETF期权2502认购6.886,OP510500.SH,ETF期权,C,6.886,20250226,20241226,20250226
10008019.SH,南方中证500ETF期权2410认购6.25,OP510500.SH,ETF期权,C,6.25,20241023,20240930,20241023
10008020.SH,南方中证500ETF期权2410认购6.50,OP510500.SH,ETF期权,C,6.5,20241023,20240930,20241023
10008021.SH,南方中证500ETF期权2410认沽6.25,OP510500.SH,ETF期权,P,6.25,20241023,20240930,20241023
10008022.SH,南方中证500ETF期权2410认沽6.50,OP510500.SH,ETF期权,P,6.5,20241023,20240930,20241023
10008023.SH,南方中证500ETF期权2411认购6.25,OP510500.SH,ETF期权,C,6.25,20241127,20240930,20241127
10008024.SH,南方中证500ETF期权2411认购6.50,OP510500.SH,ETF期权,C,6.5,20241127,20240930,20241127
10008025.SH,南方中证500ETF期权2411认沽6.25,OP510500.SH,ETF期权,P,6.25,20241127,20240930,20241127
10008026.SH,南方中证500ETF期权2411认沽6.50,OP510500.SH,ETF期权,P,6.5,20241127,20240930,20241127
10008027.SH,南方中证500ETF期权2503认购6.149,OP510500.SH,ETF期权,C,6.149,20250326,20240930,20250326
10008028.SH,南方中证500ETF期权2503认购6.394,OP510500.SH,ETF期权,C,6.394,20250326,20240930,20250326
10008029.SH,南方中证500ETF期权2503认沽6.149,OP510500.SH,ETF期权,P,6.149,20250326,20240930,20250326
10008030.SH,南方中证500ETF期权2503认沽6.394,OP510500.SH,ETF期权,P,6.394,20250326,20240930,20250326
10008610.SH,南方中证500ETF期权2502认购5.165,OP510500.SH,ETF期权,C,5.165,20250226,20241226,20250226
10007645.SH,南方中证500ETF期权2503认沽4.722,OP510500.SH,ETF期权,P,4.722,20250326,20240725,20250326
10005445.SH,南方中证500ETF期权2307认沽5.25,OP510500.SH,ETF期权,P,5.25,20230726,20230525,20230726
10008723.SH,南方中证500ETF期权2501认沽4.90,OP510500.SH,ETF期权,P,4.9,20250122,20250116,20250122
10004757.SH,南方中证500ETF期权2306认购4.90,OP510500.SH,ETF期权,C,4.9,20230628,20221031,20230628
10004758.SH,南方中证500ETF期权2306认沽4.90,OP510500.SH,ETF期权,P,4.9,20230628,20221031,20230628
10005305.SH,南方中证500ETF期权2305认购7.25,OP510500.SH,ETF期权,C,7.25,20230524,20230323,20230524
10008615.SH,南方中证500ETF期权2502认购6.394,OP510500.SH,ETF期权,C,6.394,20250226,20241226,20250226
10007314.SH,南方中证500ETF期权2409认沽6.50,OP510500.SH,ETF期权,P,6.5,20240925,20240517,20240925
10007750.SH,南方中证500ETF期权2410认购4.70,OP510500.SH,ETF期权,C,4.7,20241023,20240829,20241023
10008970.SH,南方中证500ETF期权2504认购5.75,OP510500.SH,ETF期权,C,5.75,20250423,20250227,20250423
10008378.SH,南方中证500ETF期权2412认沽7.50,OP510500.SH,ETF期权,P,7.5,20241225,20241112,20241225
10006951.SH,南方中证500ETF期权2404认购4.70,OP510500.SH,ETF期权,C,4.7,20240424,20240229,20240424
10005906.SH,南方中证500ETF期权2403认沽4.90,OP510500.SH,ETF期权,P,4.9,20240327,20230822,20240327
10008901.SH,南方中证500ETF期权2506认购7.00,OP510500.SH,ETF期权,C,7.0,20250625,20250211,20250625
10008621.SH,南方中证500ETF期权2502认沽5.657,OP510500.SH,ETF期权,P,5.657,20250226,20241226,20250226
10005736.SH,南方中证500ETF期权2308认沽7.25,OP510500.SH,ETF期权,P,7.25,20230823,20230705,20230823
10007085.SH,南方中证500ETF期权2405认沽5.413,OP510500.SH,ETF期权,P,5.413,20240522,20240328,20240522
10009097.SH,南方中证500ETF期权2505认沽5.25,OP510500.SH,ETF期权,P,5.25,20250528,20250327,20250528
10007756.SH,南方中证500ETF期权2410认沽4.40,OP510500.SH,ETF期权,P,4.4,20241023,20240829,20241023
10006545.SH,南方中证500ETF期权2402认购6.25,OP510500.SH,ETF期权,C,6.25,20240228,20231228,20240228
10007449.SH,南方中证500ETF期权2412认购4.60,OP510500.SH,ETF期权,C,4.6,20241225,20240625,20241225
10005965.SH,南方中证500ETF期权2310认沽6.50,OP510500.SH,ETF期权,P,6.5,20231025,20230824,20231025
10007079.SH,南方中证500ETF期权2405认购6.152,OP510500.SH,ETF期权,C,6.152,20240522,20240328,20240522
10007693.SH,南方中证500ETF期权2503认购5.657,OP510500.SH,ETF期权,C,5.657,20250326,20240801,20250326
10006146.SH,南方中证500ETF期权2311认沽4.80,OP510500.SH,ETF期权,P,4.8,20231122,20231020,20231122
10007178.SH,南方中证500ETF期权2412认购4.921,OP510500.SH,ETF期权,C,4.921,20241225,20240425,20241225
10007745.SH,南方中证500ETF期权2410认购4.20,OP510500.SH,ETF期权,C,4.2,20241023,20240829,20241023
10005393.SH,南方中证500ETF期权2305认购5.00,OP510500.SH,ETF期权,C,5.0,20230524,20230515,20230524
10005394.SH,南方中证500ETF期权2305认沽5.00,OP510500.SH,ETF期权,P,5.0,20230524,20230515,20230524
10005395.SH,南方中证500ETF期权2309认购5.00,OP510500.SH,ETF期权,C,5.0,20230927,20230515,20230927
10005396.SH,南方中证500ETF期权2309认沽5.00,OP510500.SH,ETF期权,P,5.0,20230927,20230515,20230927
10005397.SH,南方中证500ETF期权2312认购5.00,OP510500.SH,ETF期权,C,5.0,20231227,20230515,20231227
10005398.SH,南方中证500ETF期权2312认沽5.00,OP510500.SH,ETF期权,P,5.0,20231227,20230515,20231227
10007579.SH,南方中证500ETF期权2412认购4.40,OP510500.SH,ETF期权,C,4.4,20241225,20240709,20241225
10007374.SH,南方中证500ETF期权2407认购5.75,OP510500.SH,ETF期权,C,5.75,20240724,20240523,20240724
10008975.SH,南方中证500ETF期权2504认购7.00,OP510500.SH,ETF期权,C,7.0,20250423,20250227,20250423
10005222.SH,南方中证500ETF期权2304认购6.25,OP510500.SH,ETF期权,C,6.25,20230426,20230223,20230426
10006958.SH,南方中证500ETF期权2404认购6.00,OP510500.SH,ETF期权,C,6.0,20240424,20240229,20240424
10009046.SH,南方中证500ETF期权2506认沽7.25,OP510500.SH,ETF期权,P,7.25,20250625,20250319,20250625
10008979.SH,南方中证500ETF期权2504认沽5.75,OP510500.SH,ETF期权,P,5.75,20250423,20250227,20250423
10008733.SH,南方中证500ETF期权2502认购5.00,OP510500.SH,ETF期权,C,5.0,20250226,20250116,20250226
10008717.SH,南方中证500ETF期权2501认购5.50,OP510500.SH,ETF期权,C,5.5,20250122,20250116,20250122
10007807.SH,南方中证500ETF期权2410认购5.25,OP510500.SH,ETF期权,C,5.25,20241023,20240902,20241023
10007808.SH,南方中证500ETF期权2410认沽5.25,OP510500.SH,ETF期权,P,5.25,20241023,20240902,20241023
10007446.SH,南方中证500ETF期权2407认沽4.60,OP510500.SH,ETF期权,P,4.6,20240724,20240625,20240724
10008301.SH,南方中证500ETF期权2506认购5.657,OP510500.SH,ETF期权,C,5.657,20250625,20241024,20250625
10007319.SH,南方中证500ETF期权2412认购5.50,OP510500.SH,ETF期权,C,5.5,20241225,20240517,20241225
10009104.SH,南方中证500ETF期权2505认沽7.00,OP510500.SH,ETF期权,P,7.0,20250528,20250327,20250528
10007073.SH,南方中证500ETF期权2405认购4.823,OP510500.SH,ETF期权,C,4.823,20240522,20240328,20240522
10006911.SH,南方中证500ETF期权2409认购6.398,OP510500.SH,ETF期权,C,6.398,20240925,20240228,20240925
10008305.SH,南方中证500ETF期权2506认购6.64,OP510500.SH,ETF期权,C,6.64,20250625,20241024,20250625
10007294.SH,南方中证500ETF期权2406认沽6.00,OP510500.SH,ETF期权,P,6.0,20240626,20240517,20240626
10008721.SH,南方中证500ETF期权2501认购6.50,OP510500.SH,ETF期权,C,6.5,20250122,20250116,20250122
10007187.SH,南方中证500ETF期权2412认沽4.921,OP510500.SH,ETF期权,P,4.921,20241225,20240425,20241225
10005312.SH,南方中证500ETF期权2305认沽6.75,OP510500.SH,ETF期权,P,6.75,20230524,20230323,20230524
10007589.SH,南方中证500ETF期权2408认购4.30,OP510500.SH,ETF期权,C,4.3,20240828,20240725,20240828
10008762.SH,南方中证500ETF期权2503认沽5.50,OP510500.SH,ETF期权,P,5.5,20250326,20250116,20250326
10008353.SH,南方中证500ETF期权2506认购6.886,OP510500.SH,ETF期权,C,6.886,20250625,20241028,20250625
10008354.SH,南方中证500ETF期权2506认沽6.886,OP510500.SH,ETF期权,P,6.886,20250625,20241028,20250625
10006210.SH,南方中证500ETF期权2406认购6.152,OP510500.SH,ETF期权,C,6.152,20240626,20231026,20240626
10006880.SH,南方中证500ETF期权2402认沽4.10,OP510500.SH,ETF期权,P,4.1,20240228,20240206,20240228
10005308.SH,南方中证500ETF期权2305认沽5.75,OP510500.SH,ETF期权,P,5.75,20230524,20230323,20230524
10005228.SH,南方中证500ETF期权2304认沽5.50,OP510500.SH,ETF期权,P,5.5,20230426,20230223,20230426
10006320.SH,南方中证500ETF期权2401认沽5.25,OP510500.SH,ETF期权,P,5.25,20240124,20231123,20240124
10007331.SH,南方中证500ETF期权2412认沽6.25,OP510500.SH,ETF期权,P,6.25,20241225,20240517,20241225
10006077.SH,南方中证500ETF期权2311认沽6.50,OP510500.SH,ETF期权,P,6.5,20231122,20230928,20231122
10009102.SH,南方中证500ETF期权2505认沽6.50,OP510500.SH,ETF期权,P,6.5,20250528,20250327,20250528
10006952.SH,南方中证500ETF期权2404认购4.80,OP510500.SH,ETF期权,C,4.8,20240424,20240229,20240424
10008731.SH,南方中证500ETF期权2502认购4.80,OP510500.SH,ETF期权,C,4.8,20250226,20250116,20250226
10007078.SH,南方中证500ETF期权2405认购5.906,OP510500.SH,ETF期权,C,5.906,20240522,20240328,20240522
10005310.SH,南方中证500ETF期权2305认沽6.25,OP510500.SH,ETF期权,P,6.25,20230524,20230323,20230524
10007648.SH,南方中证500ETF期权2503认沽5.165,OP510500.SH,ETF期权,P,5.165,20250326,20240725,20250326
10005313.SH,南方中证500ETF期权2305认沽7.00,OP510500.SH,ETF期权,P,7.0,20230524,20230323,20230524
10008622.SH,南方中证500ETF期权2502认沽5.903,OP510500.SH,ETF期权,P,5.903,20250226,20241226,20250226
10007272.SH,南方中证500ETF期权2405认沽5.00,OP510500.SH,ETF期权,P,5.0,20240522,20240517,20240522
10007577.SH,南方中证500ETF期权2409认购4.40,OP510500.SH,ETF期权,C,4.4,20240925,20240709,20240925
10008437.SH,南方中证500ETF期权2501认沽5.165,OP510500.SH,ETF期权,P,5.165,20250122,20241128,20250122
10006542.SH,南方中证500ETF期权2402认购5.50,OP510500.SH,ETF期权,C,5.5,20240228,20231228,20240228
10007275.SH,南方中证500ETF期权2405认沽5.75,OP510500.SH,ETF期权,P,5.75,20240522,20240517,20240522
10006766.SH,南方中证500ETF期权2409认购4.626,OP510500.SH,ETF期权,C,4.626,20240925,20240125,20240925
10005957.SH,南方中证500ETF期权2310认购6.75,OP510500.SH,ETF期权,C,6.75,20231025,20230824,20231025
10006488.SH,南方中证500ETF期权2401认沽4.70,OP510500.SH,ETF期权,P,4.7,20240124,20231227,20240124
10007288.SH,南方中证500ETF期权2406认沽4.80,OP510500.SH,ETF期权,P,4.8,20240626,20240517,20240626
10006849.SH,南方中证500ETF期权2406认购4.331,OP510500.SH,ETF期权,C,4.331,20240626,20240201,20240626
10005953.SH,南方中证500ETF期权2310认购5.75,OP510500.SH,ETF期权,C,5.75,20231025,20230824,20231025
10008758.SH,南方中证500ETF期权2503认沽4.80,OP510500.SH,ETF期权,P,4.8,20250326,20250116,20250326
10005448.SH,南方中证500ETF期权2307认沽6.00,OP510500.SH,ETF期权,P,6.0,20230726,20230525,20230726
10008763.SH,南方中证500ETF期权2503认沽5.75,OP510500.SH,ETF期权,P,5.75,20250326,20250116,20250326
10007912.SH,南方中证500ETF期权2411认沽5.00,OP510500.SH,ETF期权,P,5.0,20241127,20240926,20241127
10007552.SH,南方中证500ETF期权2409认沽4.50,OP510500.SH,ETF期权,P,4.5,20240925,20240705,20240925
10007310.SH,南方中证500ETF期权2409认沽5.50,OP510500.SH,ETF期权,P,5.5,20240925,20240517,20240925
10007751.SH,南方中证500ETF期权2410认购4.80,OP510500.SH,ETF期权,C,4.8,20241023,20240829,20241023
10005904.SH,南方中证500ETF期权2312认沽4.90,OP510500.SH,ETF期权,P,4.9,20231227,20230822,20231227
10007502.SH,南方中证500ETF期权2408认沽5.50,OP510500.SH,ETF期权,P,5.5,20240828,20240627,20240828
10007386.SH,南方中证500ETF期权2407认沽6.50,OP510500.SH,ETF期权,P,6.5,20240724,20240523,20240724
10007287.SH,南方中证500ETF期权2406认购6.50,OP510500.SH,ETF期权,C,6.5,20240626,20240517,20240626
10005230.SH,南方中证500ETF期权2304认沽6.00,OP510500.SH,ETF期权,P,6.0,20230426,20230223,20230426
10007548.SH,南方中证500ETF期权2407认沽4.50,OP510500.SH,ETF期权,P,4.5,20240724,20240705,20240724
10008715.SH,南方中证500ETF期权2501认购5.00,OP510500.SH,ETF期权,C,5.0,20250122,20250116,20250122
10007378.SH,南方中证500ETF期权2407认沽4.80,OP510500.SH,ETF期权,P,4.8,20240724,20240523,20240724
10006318.SH,南方中证500ETF期权2401认沽4.90,OP510500.SH,ETF期权,P,4.9,20240124,20231123,20240124
10005446.SH,南方中证500ETF期权2307认沽5.50,OP510500.SH,ETF期权,P,5.5,20230726,20230525,20230726
10008744.SH,南方中证500ETF期权2502认沽5.50,OP510500.SH,ETF期权,P,5.5,20250226,20250116,20250226
10007384.SH,南方中证500ETF期权2407认沽6.00,OP510500.SH,ETF期权,P,6.0,20240724,20240523,20240724
10005804.SH,南方中证500ETF期权2403认购5.75,OP510500.SH,ETF期权,C,5.75,20240327,20230727,20240327
10008772.SH,南方中证500ETF期权2506认购5.75,OP510500.SH,ETF期权,C,5.75,20250625,20250116,20250625
10008765.SH,南方中证500ETF期权2503认沽6.25,OP510500.SH,ETF期权,P,6.25,20250326,20250116,20250326
10005812.SH,南方中证500ETF期权2403认沽5.50,OP510500.SH,ETF期权,P,5.5,20240327,20230727,20240327
10007701.SH,南方中证500ETF期权2409认购4.20,OP510500.SH,ETF期权,C,4.2,20240925,20240823,20240925
10008725.SH,南方中证500ETF期权2501认沽5.25,OP510500.SH,ETF期权,P,5.25,20250122,20250116,20250122
10008898.SH,南方中证500ETF期权2502认沽7.00,OP510500.SH,ETF期权,P,7.0,20250226,20250211,20250226
10005306.SH,南方中证500ETF期权2305认沽5.25,OP510500.SH,ETF期权,P,5.25,20230524,20230323,20230524
10008757.SH,南方中证500ETF期权2503认购6.50,OP510500.SH,ETF期权,C,6.5,20250326,20250116,20250326
10007262.SH,南方中证500ETF期权2405认购4.90,OP510500.SH,ETF期权,C,4.9,20240522,20240517,20240522
10004828.SH,南方中证500ETF期权2301认沽6.25,OP510500.SH,ETF期权,P,6.25,20230130,20221124,20230130
10006204.SH,南方中证500ETF期权2406认购4.823,OP510500.SH,ETF期权,C,4.823,20240626,20231026,20240626
10005813.SH,南方中证500ETF期权2403认沽5.75,OP510500.SH,ETF期权,P,5.75,20240327,20230727,20240327
10006538.SH,南方中证500ETF期权2402认购4.80,OP510500.SH,ETF期权,C,4.8,20240228,20231228,20240228
10008569.SH,南方中证500ETF期权2501认购7.132,OP510500.SH,ETF期权,C,7.132,20250122,20241212,20250122
10008364.SH,南方中证500ETF期权2506认沽7.132,OP510500.SH,ETF期权,P,7.132,20250625,20241106,20250625
10005226.SH,南方中证500ETF期权2304认购7.25,OP510500.SH,ETF期权,C,7.25,20230426,20230223,20230426
